Source,End,Label
Acid chloride,1° Alcohol,"LAH, H2O"
Acid chloride,Ketone,Cuprate
Acid chloride,3° Alcohol,Cuprate
Acid chloride,Acyl azide,NaN3
Acid chloride,1° Amide,NH3
Acid chloride,3° Amide,R2NH
Acid chloride,2° Amide,RNH2
Acid chloride,Carboxylic acid,"H2O, py"
Acid chloride,Aldehyde,"LiAlH(tBuO)3, H3O+"
Acid chloride,Ester,Alcohol
Aldehyde,Carboxylic acid,Ag2O or H2CrO4
Aldehyde,Carboxylic acid,MCPBA
Aldehyde,Cyanohydrin,HCN
Ester,Aldehyde,"DIBAL-H, H3O+"
Ester,Carboxylic acid,aq. Acid or base
Ester,1° Alcohol,"LAH, H2O"
Anhydride,Carboxylic acid,"H2O, py"
Anhydride,1° Amide,NH3
Anhydride,3° Amide,R2NH
Anhydride,2° Amide,RNH2
Anhydride,Ester,Alcohol
Anhydride,1° Amide,NH3
Anhydride,3° Amide,R2NH
Anhydride,2° Amide,RNH2
Nitrile,Aldehyde,"DIBAL-H, H3O+"
1° Amide,Nitrile,P2O5 or SOCl2
Nitrile,1° Amide,NaOH and H2O
Nitrile,Carboxylic acid,aq. acid or base
Nitrile,Ketone,Grignard
Nitrile,1° Amine,"LAH, H2O"
Alkyl azide,1° Amide,"LAH, H2O"
1° Amine,Ammonium salt,HA
1° Amine,Quaternary ammonium salt,Alkyl halide
1° Amine,1° Amide,Acyl chloride
2° Amine,2° Amide,Acyl chloride
1° Amide,1° Amine,"LAH, H2O"
2° Amide,2° Amine,"LAH, H2O"
3° Amide,3° Amine,"LAH, H2O"
Carboxylic acid,Acid chloride,SOCl2 or PCl3 or PCl5
Carboxylic acid,Anhydride,Acid chloride
Carboxylic acid,1° Amide,NH3 with DCC
Carboxylic acid,Ester,Alcohol with H2SO4
Phosgene,Urea,Amine
Phosgene,Chloroformate,Alcohol
Chloroformate,Carbamate,Amine
Benzene,Chlorobenzene,"Cl2, FeCl3"
Benzene,Nitrobenzene,"HNO3, H2SO4"
Nitrobenzene,Aniline,SnCl2
Benzene,Alkylbenzene,"Alkyl halide, Lewis acid"
Alkylbenzene,Benzoic acid,"KMnO4, -OH, heat"
Acid chloride,Isocyanate,Alkyl azide
Isocyanate,Urea,Amine
Isocyanate,1° Amine,H2O
Isocyanate,Carbamate,Alcohol
1° Amide,1° Amine,"Br2, NaOH (note -1 carbon)"
Alkene,Carboxylic acid,"KMnO4, -OH, heat"
Ketone,Ester,MCPBA
Carboxylic acid,Carboxylate anion,PhLi or any base
Ketone,2° Alcohol,"LAH,NaBH4,DIBAL-H"
2° Alcohol,Ketone,"H2CrO4/KMnO4,PCC,Swern"
1° Alcohol,Carboxylic acid,H2CrO4 or KMnO4
